w,Ca,dt
2,0.05,8e-06
2,0.1,4e-06
2,0.2,2e-06
2,0.4,1e-06
2,0.8,5e-07
2,1.6,2.5e-07
3,0.05,5.33e-06
3,0.1,2.67e-06
3,0.2,1.33e-06
3,0.4,6.67e-07
3,0.8,3.33e-07
3,1.6,1.67e-07
4,0.05,4e-06
4,0.1,2e-06
4,0.2,1e-06
4,0.4,5e-07
4,0.8,2.5e-07
4,1.6,1.25e-07
5,0.05,3.2e-06
5,0.1,1.6e-06
5,0.2,8e-07
5,0.4,4e-07
5,0.8,2e-07
5,1.6,1e-07
6,0.05,2.64e-06
6,0.1,1.32e-06
6,0.2,6.61e-07
6,0.4,3.31e-07
6,0.8,1.65e-07
6,1.6,8.26e-08
8,0.05,2.03e-06
8,0.1,1.01e-06
8,0.2,5.06e-07
8,0.4,2.53e-07
8,0.8,1.27e-07
8,1.6,6.33e-08
10,0.05,1.62e-06
10,0.1,8.08e-07
10,0.2,4.04e-07
10,0.4,2.02e-07
10,0.8,1.01e-07
10,1.6,5.05e-08
