w,Ca,kappa
4,0.05,1467214.9728652486
4,0.1,4500114.101923496
4,0.2,198254.4008995762
4,0.4,49800.59059049771
4,0.8,12706.384329948116
5,0.05,38801.043666601145
5,0.1,4821.457164382608
5,0.2,24218.08418648858
5,0.4,4068.7119908579766
5,0.8,1350.552322371794
6,0.05,23107.314031967384
6,0.1,3537.879108700522
6,0.2,2637.4866392851545
6,0.4,973.4115035619959
6,0.8,1163.1465144437218
8,0.05,17360.634930012813
8,0.1,6457.052712275795
8,0.2,4401.533371173144
8,0.4,1166.0031134182739
8,0.8,921.8330643490668
10,0.05,3989.0384193023433
10,0.1,1168.8828320215337
10,0.2,2462.2913188586153
10,0.4,1021.2609276628383
10,0.8,1159.8568597961691
